id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
13847410,JJ265528,2025-05-22T17:30:00.000,011XX N MILWAUKEE AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,False,True,1213,012,27,24,04B,1165952,1907936,2025,2025-05-30T15:43:19.000,41.902961643,-87.665865852,"{'latitude': '41.902961643', 'longitude': '-87.665865852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,22620,25,484,46,49,15,60,1
13844268,JJ265194,2025-05-22T17:29:00.000,081XX S ASHLAND AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,GAS STATION,True,False,0614,006,17,71,15,1167087,1850833,2025,2025-05-30T15:43:19.000,41.746240765,-87.663332494,"{'latitude': '41.746240765', 'longitude': '-87.663332494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,558,13,59,20,237,17
13844043,JJ265217,2025-05-22T17:29:00.000,074XX N HOYNE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2424,024,49,1,14,1160973,1949469,2025,2025-05-30T15:43:19.000,42.017035149,-87.68299682,"{'latitude': '42.017035149', 'longitude': '-87.68299682', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,22528,10,52,5,12,11,33,49
13844206,JJ265246,2025-05-22T17:25:00.000,013XX E 79TH ST,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,True,False,0411,004,8,45,08B,1186380,1852878,2025,2025-05-30T15:43:19.000,41.751418468,-87.59257477,"{'latitude': '41.751418468', 'longitude': '-87.59257477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,41,133,35,61,19,224,10
13848073,JJ265203,2025-05-22T17:23:00.000,078XX S EAST END AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0414,004,8,43,08B,1188899,1853276,2025,2025-05-30T15:43:19.000,41.752450733,-87.583331276,"{'latitude': '41.752450733', 'longitude': '-87.583331276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,22538,39,188,35,24,19,222,10
13845670,JJ267149,2025-05-22T17:20:00.000,0000X E WACKER DR,0870,THEFT,POCKET-PICKING,CTA BUS STOP,False,False,0111,001,42,32,06,1176429,1902142,2025,2025-05-30T15:43:19.000,41.886832476,-87.627557257,"{'latitude': '41.886832476', 'longitude': '-87.627557257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,14309,38,580,36,42,22,88,42
13844048,JJ265231,2025-05-22T17:20:00.000,089XX S OGLESBY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0413,004,7,48,07,1193393,1846070,2025,2025-05-30T15:43:19.000,41.732568169,-87.567098102,"{'latitude': '41.732568169', 'longitude': '-87.567098102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,21202,44,492,37,25,19,246,5
13844189,JJ265285,2025-05-22T17:20:00.000,087XX S LAFLIN ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,True,2222,022,21,71,04A,1167861,1846757,2025,2025-05-30T15:43:19.000,41.735039065,-87.660613134,"{'latitude': '41.735039065', 'longitude': '-87.660613134', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,533,13,59,9,244,21
13844006,JJ265207,2025-05-22T17:18:00.000,041XX W 59TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,0813,008,13,65,08A,1149588,1865154,2025,2025-05-30T15:43:19.000,41.785895987,-87.727083564,"{'latitude': '41.785895987', 'longitude': '-87.727083564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23,21867,60,773,15,58,13,271,13
13844605,JJ265821,2025-05-22T17:15:00.000,062XX S KOLIN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0813,008,13,65,07,1148442,1862936,2025,2025-05-30T15:43:19.000,41.779831535,-87.731342347,"{'latitude': '41.779831535', 'longitude': '-87.731342347', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23,21867,63,292,6,58,13,271,13
13844717,JJ265818,2025-05-22T17:15:00.000,074XX S COTTAGE GROVE AVE,0610,BURGLARY,FORCIBLE ENTRY,DAY CARE CENTER,False,False,0323,003,6,69,05,1182846,1855923,2025,2025-05-30T15:43:19.000,41.759857028,-87.605430616,"{'latitude': '41.759857028', 'longitude': '-87.605430616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,67,515,32,61,18,223,4
13844360,JJ265190,2025-05-22T17:10:00.000,051XX S PULASKI RD,2820,OTHER OFFENSE,TELEPHONE THREAT,SMALL RETAIL STORE,False,False,0822,008,23,62,08A,1150574,1870074,2025,2025-05-30T15:43:19.000,41.79937808,-87.723340369,"{'latitude': '41.79937808', 'longitude': '-87.723340369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",35,22248,60,793,6,56,13,105,23
13850343,JJ272220,2025-05-22T17:05:00.000,031XX N CLARK ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1933,019,44,6,06,1170283,1920956,2025,2025-05-30T15:43:19.000,41.93859561,-87.649576033,"{'latitude': '41.93859561', 'longitude': '-87.649576033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,4449,57,681,25,22,5,31,44
